,OfferDetails,FaceValue,Product
716,"Save $1.50 on Pampers Swaddlers, Cruisers OR Baby Dry Diapers when you buy ONE (1) BAG Pampers Swaddlers, Cruisers OR Baby Dry Diapers. Excludes Overnights, 360 FIT and trial/travel size.",$1.50,"['Cruisers Baby Dry Diapers', 'BAG Pampers Swaddlers', 'Cruisers Baby Dry Diapers', 'Swaddlers', 'Excludes Overnights', 'FIT']"
717,"Save $2.00 on 2 Aussie Products when you buy TWO (2) Aussie Shampoo, Conditioner, OR Styling Products. Excludes Masks, trial/travel size.",$2.00,"['Aussie Products', 'Aussie Shampoo', 'Conditioner', 'Styling Products', 'Excludes Masks']"
718,Save $0.75 on Burt's Bees Kids Toothpaste when you buy ONE (1) Burt's Bees Kids Toothpaste. Excludes trial/travel size.,$0.75,"['Burt', 'Bees Kids Toothpaste', 'Burt', 'Bees Kids Toothpaste', 'Excludes']"
719,"Save $2.00 on Tampax when you buy ONE (1) Tampax Pearl, Radiant OR PURE Tampons (14 ct or higher).",$2.00,"['Tampax Pearl', 'Radiant', 'PURE Tampons']"
720,Save $5.00 on Oral-B Vitality OR Pro 500 Rechargeable Electric Toothbrush when you buy ONE (1) Oral-B Vitality OR Pro 500 Rechargeable Electric Toothbrush.,$5.00,"['Oral-B Vitality', 'Pro', 'Rechargeable Electric Toothbrush', 'Oral-B Vitality', 'Pro', 'Rechargeable Electric Toothbrush']"
721,"Save $2.00 on TIDE Laundry Detergent when you buy ONE (1) Tide Laundry Detergent (40 oz OR 37 oz). Excludes Tide Purclean Laundry Detergent, Studio by Tide Laundry Detergent, Tide PODS, Tide Rescue, Tide Simply, Tide Simply PODS, Tide Detergent 10 oz and trial/travel size.",$2.00,"['TIDE Laundry', 'Tide Laundry Detergent', 'Tide PODS', 'Tide Rescue', 'Tide Simply', 'Tide Simply PODS', 'Tide', 'Detergent', 'Tide Laundry Detergent', 'Excludes Tide Purclean Laundry Detergent', 'Detergent']"
722,Save $3.00 on GILLETTE when you buy ONE (1) Gillette Disposable 2 ct or larger (excludes Sensor 2 ct and Venus Products).,$3.00,"['GILLETTE', 'Gillette Disposable', 'Venus Products', 'Sensor']"
723,Save $1.00 on Burt's Bees Adult Toothpaste when you buy ONE (1) Burt's Bees Adult Toothpaste. Excludes trial/travel size.,$1.00,"['Burt', 'Bees Adult Toothpaste', 'Burt', 'Bees Adult Toothpaste', 'Excludes']"
724,"Save $2.00 on Tide when you buy ONE (1) Studio by Tide Laundry Detergent (excludes Tide Purclean Laundry Detergent, Tide PODS, Tide Rescue, Tide Simply Laundry Detergent, Tide Simply PODS, Tide Detergent and trial/travel size).",$2.00,"['Tide Laundry', 'Tide PODS', 'Tide Rescue', 'Tide Simply Laundry Detergent', 'Tide Simply PODS', 'Tide Detergent', 'Detergent', 'Tide Purclean Laundry Detergent']"
725,"Save $1.00 on Olay Bar/BW/InShwr BdyLtn when you buy ONE (1) Olay Bar (4 ct or larger) Body Wash, Rinse Off Body Conditioner OR Hand and Body Lotion (excludes trial/travel size).",$1.00,"['Olay', 'Olay Bar', 'Rinse Off Body Conditioner', 'Body Lotion', 'Bar/BW/InShwr BdyLtn', 'Body Wash', 'Hand']"
726,"Save $4.00 on OLAY wen you buy ONE (1) Olay Facial Moisturizer (excludes Serums, Complete, Active Hydrating and trial/travel size).",$4.00,"['OLAY', 'Serums', 'Complete', 'Active Hydrating', 'Olay Facial Moisturizer']"
727,Save $2.00 on BOUNCE ONE Bounce/Downy Sheets 105 ct TO 120 ct OR Bounce/Downy Wrinkle Guard Sheets 60 ct OR Bounce Rapid Touch-up 3 in 1 Spray OR Downy Wrinkle Releaser Spray (excludes Downy Libre Enjuague and trial/travel size).,$2.00,"['BOUNCE', 'Downy Libre Enjuague', 'Bounce/Downy', 'Bounce/Downy Wrinkle Guard', 'Bounce Rapid Touch-up', 'Downy Wrinkle Releaser Spray']"
728,"Save $4.00 on Pantene when you buy THREE (3) Pantene Products including Gold Series Collection (excludes Single Count Intense Rescue Shot, One Step Nourishing Mask and trial/travel size).",$4.00,"['Pantene', 'Gold Series Collection', 'Single Count Intense Rescue Shot', 'Pantene', 'Nourishing Mask']"
729,"Save $2.00 on GILLETTE when you buy ONE (1) Gillette Razor (excludes Disposables, Venus Products and trial/travel size).",$2.00,"['GILLETTE', 'Gillette Razor', 'Venus Products', 'Disposables']"
730,"Save $3.00 on Herbal Essences when you buy TWO (2) Herbal Essences bio:renew Shampoo, Conditioner OR Styling Products (excludes Masks, 100 mL Shampoo and Conditioners, Color, Body Wash and trial/travel size).",$3.00,"['Herbal Essences', 'Herbal Essences', 'Shampoo', 'Conditioner Styling Products', 'Shampoo', 'Color', 'Body Wash', 'Masks', 'Conditioners']"
731,Save $5.00 on Oral-B Pro 1000 OR 3000 Rechargeable Electric Toothbrush when you buy ONE (1) Oral-B Pro 1000 OR Pro 3000 Rechargeable Electric Toothbrush.,$5.00,"['Oral-B Pro', 'Rechargeable Electric Toothbrush', 'Pro', 'Rechargeable Electric Toothbrush']"
732,"Save $2.00 on Tide PODS when you buy ONE (1) Tide PODS (96 ct OR 73 ct) OR Tide Power PODS (48 ct). Excludes Tide Liquid/Powder Laundry Detergent, Tide Simply, Tide Simply PODS, Tide PODS 9 ct and below, and trial/travel size.",$2.00,"['Tide', 'Tide Simply', 'Tide Simply PODS', 'Tide', 'PODS', 'Tide PODS', 'Tide Power PODS', 'Excludes Tide Liquid/Powder Laundry Detergent', 'PODS']"
733,"Save $1.00 on Secret when you buy TWO (2) Secret Fresh, Outlast OR Aluminum Free 2.4 oz or larger",$1.00,"['Secret Fresh', 'Outlast Aluminum', 'Secret', 'Free']"
734,Save $1.00 on ORAL CARE when you buy ONE (1) Fixodent Adhesive 1.4 oz OR larger (excludes trial/travel size).,$1.00,"['ORAL', 'CARE', 'Fixodent Adhesive']"
735,Save $3.00 on Venus when you buy ONE (1) Venus OR Daisy Disposable 2 ct or larger (excludes Daisy 2 ct).,$3.00,"['Venus', 'Venus', 'Daisy Disposable', 'Daisy']"
736,Save $2.00 on OLAY when you buy ONE (1) Olay Facial Cleanser (excludes trial/travel size).,$2.00,['Olay Facial Cleanser']
737,Save $1.00 on Prilosec OTC Products when you buy ONE (1) Prilosec OTC Product.,$1.00,"['Prilosec OTC', 'Prilosec OTC Product']"
738,Save $4.00 on WATERLESS when you buy TWO (2) Waterless Products (excludes trial/travel size).,$4.00,['WATERLESS']
739,Save $2.00 on Downy ONE Downy Liquid Fabric Conditioner 60 ld OR Downy Odor Protect Fabric Conditioner 32 oz OR Downy Wrinkle Guard Fabric Conditioner 25 oz OR Downy Nature Blends Fabric Conditioner 44 oz OR Downy Wrinkle Releaser Spray 16.9 oz (excludes Downy Libre Enjuague and trial/travel size).,$2.00,"['Downy', 'Downy Liquid Fabric Conditioner', 'Downy Odor Protect Fabric Conditioner', 'Downy Wrinkle Guard Fabric Conditioner', 'Downy Nature Blends Fabric Conditioner', 'Downy Wrinkle Releaser Spray', 'Downy Libre Enjuague']"
740,"Save $2.00 on 2 Herbal Essences Products when you buy TWO (2) Herbal Essences Shampoo, Conditioner OR Styling Products. Excludes bio:renew, Color, Body Wash and trial/travel size.",$2.00,"['Herbal Essences Products', 'Herbal Essences Shampoo', 'Conditioner Styling Products', 'Color', 'Body Wash']"
741,Save $1.00 on Gillette AP/DO Group when you buy TWO (2) Gillette Anti-Perspirant 2.85 oz or larger (excludes Clinical).,$1.00,"['Gillette', 'AP/DO Group', 'Gillette', 'Clinical']"
742,"Save $0.65 on Oikos Blue Single Serve Cup When You Buy ONE (1) Oikos Blue Single Serve Cup, any size. Excludes Oikos Triple Zero products.",$0.65,"['Oikos Blue Single Serve', 'Cup', 'Oikos Blue Single Serve Cup', 'Excludes Oikos Triple Zero']"
743,Save $3.00 on Claritin® Syrup when you buy ONE (1) Non-Drowsy Children's Claritin® Syrup (4oz or larger),$3.00,"['Claritin® Syrup', 'Non-Drowsy Children', 'Claritin® Syrup']"
744,Save $5.00 on Non-Drowsy Claritin® Chews when you buy ONE (1) Non-Drowsy Claritin® Chews (24 ct or larger),$5.00,"['Non-Drowsy Claritin® Chews', 'Non-Drowsy Claritin® Chews']"
745,"Save $5.00 on Non-Drowsy Claritin-D® Products When you buy ONE (1) Non-Drowsy Claritin-D® product, any variety (15 count or larger)",$5.00,['Non-Drowsy Claritin-D®']
746,Save $5.00 on Non-Drowsy Claritin® Product When you buy ONE (1) Non-Drowsy Claritin® (24 count or larger),$5.00,"['Non-Drowsy Claritin® Product', 'Claritin®']"
747,Save $8.00 on Children's Claritin Chewables when you buy ONE (1) Non-Drowsy Children's Claritin® Chewables (60ct or larger),$8.00,"['Children', 'Claritin Chewables', 'Non-Drowsy Children', 'Claritin® Chewables']"
748,Save $5.00 on Children's Claritin® or RediTabs® when you buy ONE (1) Children's Claritin® (8 oz. or 20 count or larger) or RediTabs® for Juniors (30 count or larger),$5.00,"['Children', 'Children', 'Claritin®', 'RediTabs®', 'Claritin®', 'RediTabs®', 'Juniors']"
749,Save $8.00 on Non-drowsy Claritin® Liqui-Gels® or Tablets when you buy ONE (1) Non-drowsy Claritin® Liqui-Gels® (60 ct) or Tablets (70 ct or larger),$8.00,"['Tablets', 'Non-drowsy Claritin® Liqui-Gels®', 'Claritin® Liqui-Gels®']"
750,"Save $1.00 On MUSCLE MILK Pro Series Protein Shake When you Buy ONE (1) Chocolate or Vanilla, 44 fl.oz. tot. wt. pkg - 4pk  *Redeem up to 4 offers for a total of 4 pkgs. In a single order.",$1.00,"['MUSCLE MILK', 'Vanilla', 'Pro Series Protein Shake']"
751,Save $1.00 On Hyland's Restful Legs When you Buy ONE (1) Quick-Dissolving Tablets,$1.00,"['Hyland', 'Restful Legs']"
752,"Save $0.55 on OFF!® Products when you buy ONE (1) OFF!® Product, any variety. Excludes Club Packs, Twin Packs, 2 oz. and 2.5oz. OFF!® Products.",$0.55,"['Twin Packs', 'Product', 'Excludes Club Packs']"
